arm,subset,family,n,executed,metric,estimate,numerator,denominator,ci95_low,ci95_high
A,compound_fault,I5,24,24,accuracy,0.0,0,24,0.0,0.0
A,all,D1,96,96,VAR,,0,0,,
A,all,D1,96,96,VRR,,0,0,,
A,all,D1,96,96,VIR,,0,0,,
A,all,D1,96,96,IAR,,0,0,,
A,all,D1,96,96,IDR,,0,0,,
A,all,D1,96,96,IDR_indet,0.0,0,96,0.0,0.0
A,all,D1,96,96,coverage,1.0,96,96,1.0,1.0
A,all,D1,96,96,abstention,0.0,0,96,0.0,0.0
A,all,D1,96,96,decision_coverage,1.0,96,96,1.0,1.0
A,all,D1,96,96,accuracy,0.0,0,96,0.0,0.0
A,all,D2,48,48,VAR,,0,0,,
A,all,D2,48,48,VRR,,0,0,,
A,all,D2,48,48,VIR,,0,0,,
A,all,D2,48,48,IAR,,0,0,,
A,all,D2,48,48,IDR,,0,0,,
A,all,D2,48,48,IDR_indet,0.0,0,48,0.0,0.0
A,all,D2,48,48,coverage,1.0,48,48,1.0,1.0
A,all,D2,48,48,abstention,0.0,0,48,0.0,0.0
A,all,D2,48,48,decision_coverage,1.0,48,48,1.0,1.0
A,all,D2,48,48,accuracy,0.0,0,48,0.0,0.0
A,all,D3,48,48,VAR,,0,0,,
A,all,D3,48,48,VRR,,0,0,,
A,all,D3,48,48,VIR,,0,0,,
A,all,D3,48,48,IAR,,0,0,,
A,all,D3,48,48,IDR,,0,0,,
A,all,D3,48,48,IDR_indet,0.0,0,48,0.0,0.0
A,all,D3,48,48,coverage,1.0,48,48,1.0,1.0
A,all,D3,48,48,abstention,0.0,0,48,0.0,0.0
A,all,D3,48,48,decision_coverage,1.0,48,48,1.0,1.0
A,all,D3,48,48,accuracy,0.0,0,48,0.0,0.0
A,all,D4,48,48,VAR,,0,0,,
A,all,D4,48,48,VRR,,0,0,,
A,all,D4,48,48,VIR,,0,0,,
A,all,D4,48,48,IAR,,0,0,,
A,all,D4,48,48,IDR,,0,0,,
A,all,D4,48,48,IDR_indet,0.0,0,48,0.0,0.0
A,all,D4,48,48,coverage,1.0,48,48,1.0,1.0
A,all,D4,48,48,abstention,0.0,0,48,0.0,0.0
A,all,D4,48,48,decision_coverage,1.0,48,48,1.0,1.0
A,all,D4,48,48,accuracy,0.0,0,48,0.0,0.0
A,all,I1,48,48,VAR,,0,0,,
A,all,I1,48,48,VRR,,0,0,,
